"V1","V2","V3","V4","V5","V6","V7","V8"
-0.250406858750446,-0.0687180264489493,0,0,0,0,0,0
0,0.0129732654166527,0,0,-0.265588601576387,0,0,0
0,0,0,0,0,0,0,1
-0.0290446848288613,0,0,-0.226200938410828,-0.00248328689039834,0,0,0.0293861256415914
0,0,0,0,0,0,0,1
0,-0.0946580404490755,-0.0974483813905156,-0.0804186633076757,0,0.260168942986406,0,0
0,0,0,0,0,0,0,1
0,0.201001030530403,0,0,0,-0.093801994505348,0,0
0,0,0,0,0,-0.0408746663993523,0,-0.0631318397396175
0,0,0,0,0.0509236915413588,0,0,0
0,0,0,-0.0168251113190684,0,0,0,0.00521778079379937
0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,-1
0,0,0,0,-0.238902269556594,0.0551036178791596,0,0.0127390481765123
0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,-1
0,-0.0488841910184589,0,0,0.055686015221075,0,0,-0.30465396772608
0,0,0,0,0,0,0,-1
0,0,0,-0.0924164675156414,0,-0.0299029275905086,0,0
0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,-1
